videovalidate,failedcount,lendercount,firstsuccessborrowtime,owingamount,creditcode,creditvalidate,amounttoreceive,successcount,overduelesscount,remainfunding,graduateschool,listingid,lastbidtime,normalcount,certificatevalidate,fistbidtime,borrowname,deadlinetimeorremindtimestr,overduemorecount,studystyle,owingprincipal,currentrate,wastecount,gender,age,months,registertime,cancelcount,amount,phonevalidate,educatevalidate,nciicidentitycheck,auditingtime,educationdegree
0,0,2,,0,AA,0,0,0,0,2120.0000,,41674007,2017-04-09T13:02:05.497,0,0,2017-04-09T13:02:03.767,pdu0277226514,19天23时42分,0,,0,10,0,2,21,3,2017-03-27T19:44:27,0,2750.0000,1,0,0,2000-01-01T00:00:00,
0,0,3,,0,AA,0,0,0,0,2070.0000,,41673856,2017-04-09T13:01:54.7,0,0,2017-04-09T13:00:21.82,pdu2540108788,19天23时41分,0,,0,10,0,1,22,3,2017-04-09T12:29:25,0,2750.0000,1,0,0,2000-01-01T00:00:00,
0,0,13,,0,AA,0,0,0,0,1618.0000,,41670020,2017-04-09T13:00:20.99,0,0,2017-04-09T12:31:20.013,pdu7403248213,19天23时12分,0,,0,10,1,1,20,3,2016-10-30T17:27:11,0,2750.0000,1,1,0,2000-01-01T00:00:00,
0,0,13,,0,AA,0,0,0,0,1568.0000,,41668974,2017-04-09T13:00:19.803,0,0,2017-04-09T12:22:11.653,pdu2003400740,19天23时04分,0,,0,10,0,1,21,3,2016-09-08T20:12:06,0,2750.0000,1,0,0,2000-01-01T00:00:00,
0,0,11,,0,AA,0,0,0,0,1468.0000,,41670323,2017-04-09T13:00:16.163,0,0,2017-04-09T12:33:20.11,pdu4311651607,19天23时15分,0,,0,10,0,1,28,3,2017-04-08T17:42:12,0,2500.0000,1,0,0,2000-01-01T00:00:00,
0,0,13,,0,AA,0,0,0,0,1818.0000,,41669775,2017-04-09T13:00:17.767,0,0,2017-04-09T12:22:53.167,pdu1533877370,19天23时10分,0,,0,10,0,1,27,3,2017-04-08T11:22:37,0,3000.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1700.0000,,41671955,2017-04-09T13:00:53.38,0,0,2017-04-09T12:42:35.923,pdu1454473516,19天23时25分,0,,0,10,0,2,35,3,2017-03-26T03:37:29,0,2500.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,1470.0000,,41673944,2017-04-09T13:02:06.24,0,0,2017-04-09T13:02:04.557,pdu7444062184,19天23时42分,0,,0,10,0,1,32,3,2016-09-21T14:07:49,0,2100.0000,1,0,0,2000-01-01T00:00:00,
0,0,2,,0,AA,0,0,0,0,1620.0000,,41674495,2017-04-09T13:02:17.733,0,0,2017-04-09T13:02:17.26,pdu7015511338,19天23时44分,0,,0,10,0,1,21,3,2017-04-05T00:19:53,0,2250.0000,1,0,0,2000-01-01T00:00:00,
0,0,6,,0,AA,0,0,0,0,1300.0000,,41672836,2017-04-09T13:01:48.66,0,0,2017-04-09T12:51:55.51,pdu4222527636,19天23时32分,0,,0,10,0,1,28,3,2016-01-05T01:12:36,0,2100.0000,1,0,0,2000-01-01T00:00:00,
